Index,URL
1,https://hotel.am/143-europe-hotel-khrabakh.html
2,https://hotel.am/8168-rampr-inn-hotel.html
3,https://hotel.am/8177-ibis-yerevan-center.html
4,https://hotel.am/8049-aghababyans-hotel.html
5,https://hotel.am/101-yerevan-deluxe-hotel.html
6,https://hotel.am/8175-comfort-hotel.html
7,https://hotel.am/8004-14-th-floor-hotel.html
8,https://hotel.am/8383-good-hotel.html
9,https://hotel.am/8375-nacho-hotel-yerevan.html
10,https://hotel.am/83-ani-central-inn-hotel.html
11,https://hotel.am/17-capital-hotel.html
12,https://hotel.am/241-tigran-mets-hotel.html
13,https://hotel.am/8182-elysium-gallery-hotel.html
14,https://hotel.am/32-metropol-hotel.html
15,https://hotel.am/224-armenia-marriott-hotel.html
16,https://hotel.am/8299-konyak-hotel.html
17,https://hotel.am/45-hotel-national-armenia.html
18,https://hotel.am/38-nairi-hotel.html
19,https://hotel.am/8363-polo-hotel.html
20,https://hotel.am/8374-rest-house-dilijan.html
21,https://hotel.am/8373-antaratun-aghveran.html
22,https://hotel.am/8371-aurora-resort-tsaghkadzor.html
23,https://hotel.am/8370-tsaghkadzor-inn-hotel.html
24,https://hotel.am/8364-vampv-hotel.html
25,https://hotel.am/8362-alaska-resort.html
26,https://hotel.am/8361-woodland-cottages.html
27,https://hotel.am/8356--.html
28,https://hotel.am/8353-vila-plaza-guest-house.html
29,https://hotel.am/8245-hover-boutique-hotel.html
30,https://hotel.am/8340-kochar-garden-hotel-yerevan.html
31,https://hotel.am/8331-tsaghkadzori-tun.html
32,https://hotel.am/8308-garni-hinyard.html
33,https://hotel.am/8304-kirch-hotel.html
34,https://hotel.am/8303-california-boutique-hotel.html
35,https://hotel.am/8289-zangezur-hotel.html
36,https://hotel.am/8286-edem-hotel.html
37,https://hotel.am/8282-har-mar-hotel.html
38,https://hotel.am/8275-cozy-house.html
39,https://hotel.am/8272-menua-hotel.html
40,https://hotel.am/8271-areguni-guest-house.html
41,https://hotel.am/8252-vale-hotel.html
42,https://hotel.am/8251-hotel-felisa.html
43,https://hotel.am/8250-getap-in-bjni.html
44,https://hotel.am/8243-hotel-fenix-complex.html
45,https://hotel.am/8242-vorotnavan-rest-home.html
46,https://hotel.am/8241-flora-hotel.html
47,https://hotel.am/8237-grand-house.html
48,https://hotel.am/8236-vanatur-hotel.html
49,https://hotel.am/8235-asour-hotel.html
50,https://hotel.am/8234-rubin-hotel.html
51,https://hotel.am/8233-getahovit-resort.html
52,https://hotel.am/8230-lider-complex.html
53,https://hotel.am/8229-khoreayi-dzor.html
54,https://hotel.am/8226-artsvik-hotel.html
55,https://hotel.am/8222-s-amp-m-hotel.html
56,https://hotel.am/8208-arevi-hotel.html
57,https://hotel.am/8204-harsnadzor-eco-resort.html
58,https://hotel.am/8200-olympic-hotel.html
59,https://hotel.am/8197-russo.html
60,https://hotel.am/8193-sh-resort-hotel.html
61,https://hotel.am/8179-avan-plaza-hotel.html
62,https://hotel.am/8136-belveder-eco-resort.html
63,https://hotel.am/8127-arzni-polyclinic-sanatorium.html
64,https://hotel.am/8124-grand-resort-jermuk.html
65,https://hotel.am/8123-lilit-resort.html
66,https://hotel.am/237-sion-resort.html
67,https://hotel.am/232-nairi-spa-resorts.html
68,https://hotel.am/8053-apricot-hotels-and-resorts.html
69,https://hotel.am/204-mi-max-hotel.html
70,https://hotel.am/159-iris-guest-house.html
71,https://hotel.am/127-takht-house-guesthouse.html
72,https://hotel.am/121-magnit-guesthouse.html
73,https://hotel.am/240-nur-hotel-resort.html
74,https://hotel.am/248-harsnaqar-hotel.html
